"Card number","Name","Rarity","Set Name"
"HAC1-EN148"," The Fabled Kudabbi","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN149"," Dragunity Dux","Duel Terminal Ultra Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN150"," Dragunity Legionnaire","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN150"," Dragunity Legionnaire","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN151"," Dragunity Tribus","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN151"," Dragunity Tribus","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN152"," Dragunity Darkspear","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN152"," Dragunity Darkspear","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN153"," Dragunity Phalanx","Duel Terminal Ultra Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN154"," Dragunity Militum","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN154"," Dragunity Militum","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN155"," Dragunity Primus Pilus","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN155"," Dragunity Primus Pilus","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN156"," Dragunity Brandistock","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN156"," Dragunity Brandistock","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN157"," Dragunity Javelin","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN157"," Dragunity Javelin","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN158"," Dragunity Corsesca","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN158"," Dragunity Corsesca","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN159"," Dragunity Partisan","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN159"," Dragunity Partisan","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN160"," Dragunity Pilum","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN160"," Dragunity Pilum","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN161"," Dragunity Angusticlavii","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN161"," Dragunity Angusticlavii","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN162"," Dragunity Knight - Gae Bulg","Duel Terminal Ultra Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN163"," Dragunity Knight - Gae Dearg","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN163"," Dragunity Knight - Gae Dearg","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN164"," Dragunity Knight - Trident","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN164"," Dragunity Knight - Trident","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN165"," Dragunity Knight - Barcha","Duel Terminal Ultra Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN166"," Mist Wurm","Duel Terminal Ultra Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN167"," Wrath of Neos","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN167"," Wrath of Neos","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN168"," Detonate","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN168"," Detonate","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN169"," Berserker Crush","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN169"," Berserker Crush","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN170"," Evolution Burst","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN170"," Evolution Burst","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN171"," Swallow's Nest","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN171"," Swallow's Nest","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN172","Dragunity Guisarme","Secret Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN173","Armed Dragon, the Armored Dragon","Secret Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN174","Pile Armed Dragon","Secret Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN175","Deep Sea Repetiteur","Secret Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN176","Armory Arm","Secret Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN177","Power Tool Dragon","Secret Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN178","Formula Synchron","Secret Rare","Hidden Arsenal: Chapter 1"
